¶ Linstruction des	¶ L'instruction des
retirera en icelle/ ⁊ sera muny. Prouer.18.b.	retirera en icelle/ et sera muny. Prover.18.b.
Uous qui estes seruiteurs de Leternel louez le:	Vous qui estes serviteurs de L'eternel louez le:
louez le nom de Leternel. Le nom de Leternel	louez le nom de L'eternel. Le nom de L'eternel
soit collaude/ ⁊ a tousiours mais. Depuis le so¬	soit collaude/ et a tousjours mais. Depuis le so¬
leil leuant iusques a soleil couchãt: le nom de Le	leil levant jusques a soleil couchant: le nom de L'e¬
ternel est digne de louẽge. Ps̈.113.a. Dañ.2.c.	ternel est digne de louenge. Ps̈.113.a. Dañ.2.c.
Chãtez a Leternel/ ⁊ dõnez louenge a son nom:	Chantez a L'eternel/ et donnez louenge a son nom:
annoncez de iour en iour son salut. Racontez sa	annoncez de jour en jour son salut. Racontez sa
gloire entre les gens/ ⁊ ses merueilles entre tous	gloire entre les gens/ et ses merveilles entre tous
les peuples. Ps̈.96.a.	les peuples. Ps̈.96.a.
Non pas a nous o Eternel/ non pas a nous:	Non pas a nous o Eternel/ non pas a nous:
mais a ton nom dõne la gloire/ a cause de ta mise	mais a ton nom donne la gloire/ a cause de ta mise¬
ricorde ⁊ de ta uerite. Ps̈.115.a.	ricorde et de ta verite. Ps̈.115.a.
Sire dieu/ nostre sauueur/ donne noꝰ ayde pour	Sire dieu/ nostre sauveur/ donne nous ayde pour
lhonneur de ton nom: ⁊ nous deliure/ ⁊ pardonne	l'honneur de ton nom: et nous delivre/ et pardonne
noz pechez/ a cause de ton nom. Ps̈.79.b.	noz pechez/ a cause de ton nom. Ps̈.79.b.
O Eternel/ enseigne moy ta uoye: ie chemine¬	O Eternel/ enseigne moy ta voye: je chemine¬
ray en ta uerite: unis mõ coeur/ affin quil craigne	ray en ta verite: unis mon coeur/ affin qu'il craigne
ton nom. Seigneur qui es mon dieu/ ie te rẽdray	ton nom. Seigneur qui es mon dieu/ je te rendray
louenge de tout mon coeur/ ⁊ glorifieray ton nom	louenge de tout mon coeur/ et glorifieray ton nom
eternellement. Ps̈.86.b.145.a.1. Cronic.29.c.	eternellement. Ps̈.86.b.145.a.1. Cronic.29.c.
Ie te feray sacrifice en liberalite: o Eternel/ ie	Je te feray sacrifice en liberalite: o Eternel/ je
magnifieray ton nom: car il est bon. Ps̈.54.b.	magnifieray ton nom: car il est bon. Ps̈.54.b.
Ie annõceray tõ nom a mes freres: ie te loueray	Je annonceray ton nom a mes freres: je te loueray
au milieu de la cõgregation. Ps̈.22.e.33.c. Heb.2.c.	au milieu de la congregation. Ps̈.22.e.33.c. Heb.2.c.
Leternel la donne/ ⁊ Leternel la oste: le nom de	L'eternel l'a donne/ et L'eternel l'a oste: le nom de
Leternel soit loue. Iob.1.d.	L'eternel soit loue. Job.1.d.
Offrons donc par luy sacrifice de louẽge tous¬	Offrons donc par luy sacrifice de louenge tous¬
iours a dieu: cestadire/ le fruict des leures/ confes¬	jours a dieu: c'est adire/ le fruict des levres/ confes¬
sans louenge a son nom. Heb.13.c.	sans louenge a son nom. Heb.13.c.
Ton royaume aduienne.	Ton royaume advienne.
Cerchez premierement le royaume de dieu/ et sa	Cerchez premierement le royaume de dieu/ et sa
iustice: et toutes choses uous seront adioustees.	justice: et toutes choses vous seront adjoustees.
Matth.6.d. Luc.12.d.	Matth.6.d. Luc.12.d.
Le royaume de dieu nest point uiãde ⁊ breuuage:	Le royaume de dieu n'est point viande et breuvage:
mais iustice/ paix/ ⁊ ioye/ au saĩct esperit. Ro.14.c.	mais justice/ paix/ et joye/ au sainct esperit. Ro.14.c.
Le royaume de dieu nest point en parolle: mais	Le royaume de dieu n'est point en parolle: mais
en uertu. 1.Corin.4.d.	en vertu. 1.Corin.4.d.
Le royaume de dieu ne uiẽdra point par y pren¬	Le royaume de dieu ne viendra point par y pren¬
dre garde: ⁊ ne diront point: Uoyci/ il est cy: ou il	dre garde: et ne diront point: Voyci/ il est cy: ou il
est la. Car/ uoyci: le royaume de dieu est dedens	est la. Car/ voyci: le royaume de dieu est dedens
uous. Luc.17.e.	vous. Luc.17.e.
Se aucun nest nay denhaut: il ne peut ueoir le	Se aucun n'est nay d'enhaut: il ne peut veoir le
royaume de dieu. Ieh.3.a.	royaume de dieu. Jeh.3.a.
Se aucun nest nay de eaue/ ⁊ du sainct esperit:	Se aucun n'est nay de eaue/ et du sainct esperit:
il ne peut entrer au royaume de dieu. Ieh.3.a.	il ne peut entrer au royaume de dieu. Jeh.3.a.
Quicõque ne receuera le royaume de dieu cõme	Quiconque ne recevera le royaume de dieu comme
enfãt: il nẽtrera poĩt en iceluy. Lu.18.c. Mar.10.b.	enfant: il n'entrera point en iceluy. Lu.18.c. Mar.10.b.
La chair ⁊ le sang ne peuuent obtenir lheritage	La chair et le sang ne peuvent obtenir l'heritage
du royaume de Dieu. 1.Corin.15.f.	du royaume de Dieu. 1.Corin.15.f.
Le royaume des cieux seuffre uiolence: ⁊ les uio	Le royaume des cieux seuffre violence: et les vio¬
lent le rauissent. Matth.11.b.	lent le ravissent. Matth.11.b.
Lequel (cest ascauoir Dieu) nous a deliure de	Lequel (c'est ascavoir Dieu) nous a delivre de
la puissance des tenebres: ⁊ nous a transporte au	la puissance des tenebres: et nous a transporte au
royaume de son filz bien ayme: par lequel nous	royaume de son filz bien ayme: par lequel nous
auons redemption par son sang/ remission des pe¬	avons redemption par son sang/ remission des pe¬
chez ⁊c. Coloss.1.b.	chez etc. Coloss.1.b.
Lors sera incontinent la fin/ quand il baillera	Lors sera incontinent la fin/ quand il baillera
le royaume a Dieu ⁊ pere: quand il abolira toute	le royaume a Dieu et pere: quand il abolira toute
principaute/ ⁊ toute puissance ⁊ uertu. Car il faut	principaute/ et toute puissance et vertu. Car il faut
quil regne iusque a ce quil aura mis tous ses enne	qu'il regne jusque a ce qu'il aura mis tous ses enne¬
mis soubz ses piedz. Le dernier ennemy (qui est la	mis soubz ses piedz. Le dernier ennemy (qui est la
mort) sera destruict. 1.Corin.15.d.	mort) sera destruict. 1.Corin.15.d.
¶ Similitudes du royaume de Dieu. Mat.	¶ Similitudes du royaume de Dieu. Mat.
13.a.e. Marc.4.a.b. Luc.8.a.b. Matth.13.e.	13.a.e. Marc.4.a.b. Luc.8.a.b. Matth.13.e.
Mar.4.d. Luc.13.d.e. Matth.13.f.g.18.c.20.a.	Mar.4.d. Luc.13.d.e. Matth.13.f.g.18.c.20.a.
22.a. Luc.14.d. Mat.25.a.b. Luc.19.b.15.a.	22.a. Luc.14.d. Mat.25.a.b. Luc.19.b.15.a.
Ta uolunte soit faicte ⁊c.	Ta volunte soit faicte etc.
Seigneur/ que ueux tu que ie face. Act̃.9.a.	Seigneur/ que veux tu que je face. Act̃.9.a.
Enseigne moy que ie face ta uolunte: car tu es	Enseigne moy que je face ta volunte: car tu es
mon dieu: ton bon esperit me conduyra en la terre	mon dieu: ton bon esperit me conduyra en la terre
droicte. Ps̈.143.c.	droicte. Ps̈.143.c.
Ceste est la uolũte de celuy qui ma enuoye/ que	Ceste est la volunte de celuy qui m'a envoye/ que
tout hõme qͥ uoit le filz/ ⁊ croit en luy/ ait uie eter¬	tout homme qui voit le filz/ et croit en luy/ ait vie eter¬
nelle: ⁊ ie le ressusciteray au dernier iour. Ieh.6.d.	nelle: et je le ressusciteray au dernier jour. Jeh.6.d.
Tu feras ce qui est droit ⁊ bon deuãt les yeux	Tu feras ce qui est droit et bon devant les yeux
de Leternel: affin quil te soit bien. 5.Moyse.6.c.	de L'eternel: affin qu'il te soit bien. 5.Moyse.6.c.
Uoꝰ ne ferez point ce quil semblera a ung cha¬	Vous ne ferez point ce qu'il semblera a ung cha¬
scun estre droit en ses yeux. 5.Moyse.12.a.	scun estre droit en ses yeux. 5.Moyse.12.a.
Plusieurs pẽsees sont au coeur de lhõme: mais	Plusieurs pensees sont au coeur de l'homme: mais
le conseil de Leternel est ferme. Prouer.19.c.	le conseil de L'eternel est ferme. Prover.19.c.
Mon conseil sera ferme/ ⁊ feray toute ma uo¬	Mon conseil sera ferme/ et feray toute ma vo¬
lunte. Isaie.46.d.	lunte. Isaie.46.d.
Il faict selon sa uolunte/ tant eis uertus cele¬	Il faict selon sa volunte/ tant eis vertus cele¬
stes/ que eis habitans de la terre. Et si ny a nul qͥ	stes/ que eis habitans de la terre. Et si ny a nul qui
resiste a sa main: ⁊ qui luy die: Pourquoy fais tu	resiste a sa main: et qui luy die: Pourquoy fais tu
ce? Daniel.4.g.	ce? Daniel.4.g.
Ce nest point dõc ne par celuy qui ueut/ ne par	Ce n'est point donc ne par celuy qui veut/ ne par
celuy qui court: mais cest par Dieu faisant miseri	celuy qui court: mais c'est par Dieu faisant miseri¬
corde. Roma.9.c.	corde. Roma.9.c.
Car cest Dieu qui oeuure en uous/ ⁊ le uouloir	Car c'est Dieu qui oeuvre en vous/ et le vouloir
⁊ le faire/ par bonne uolunte. Philip2.b.	et le faire/ par bonne volunte. Philip2.b.
Il oeuure toutes choses selon le cõseil de sa uo	Il oeuvre toutes choses selon le conseil de sa vo¬
lunte/ affin que soyons en louenge de sa gloire.	lunte/ affin que soyons en louenge de sa gloire.
Ephesi.1.b.	Ephesi.1.b.
Nous auõs telle fiance a Dieu par Christ/ non	Nous avons telle fiance a Dieu par Christ/ non
pas que nous soyons suffisans de penser quelque	pas que nous soyons suffisans de penser quelque
chose de nous/ cõme de nous: mais nostre suffisan	chose de nous/ comme de nous: mais nostre suffisan¬
ce est de Dieu. 2.Corin.3.b.	ce est de Dieu. 2.Corin.3.b.
Ie ne fais pas ce que ie ueux: mais ie fay ce que	Je ne fais pas ce que je veux: mais je fay ce que
ie ne ueux pas. Et si ie fay ce q̃ ie ne ueux point: ie	je ne veux pas. Et si je fay ce que je ne veux point: je
consentz a la loy quelle est bonne. Item. Ie ne	consentz a la loy qu'elle est bonne. Item. Je ne
fay point le bien/ leq̃l ie ueux: mais ie fais le mal/	fay point le bien/ lequel je veux: mais je fais le mal/
lequel ie ne ueux point. Item/ Ie trouue donc la	lequel je ne veux point. Item/ Je trouve donc la
loy/ a moy uueillant faire bien/ que mal mest ad¬	loy/ a moy vueillant faire bien/ que mal m'est ad¬
ioingt. Car ie prens plaisir a la loy de Dieu/ selon	joingt. Car je prens plaisir a la loy de Dieu/ selon
lhõme interieur: mais ie uoy une autre loy en mes	l'homme interieur: mais je voy une autre loy en mes
mẽbres/ repugnante a la loy de mon entẽdemẽt/ ⁊	membres/ repugnante a la loy de mon entendement/ et
me rendãt prisonnier a la loy de peche/ laquelle est	me rendant prisonnier a la loy de peche/ laquelle est
en mes mẽbres. Las moy miserable hõme/ qui me	en mes membres. Las moy miserable homme/ qui me
deliurera du corps de ceste mort? Ie rendz grace a	delivrera du corps de ceste mort? Je rendz grace a
Dieu/ par Iesus Christ nostre seigneur. Rom̃.7.d.	Dieu/ par Jesus Christ nostre seigneur. Rom̃.7.d.
Qui faict la uolunte de dieu/ demeure eternel¬	Qui faict la volunte de dieu/ demeure eternel¬
lement. 1.Ieh.2.c.	lement. 1.Jeh.2.c.
Collaudez Leternel uous anges diceluy/ qui	Collaudez L'eternel vous anges d'iceluy/ qui
estes puissantz en uertu/ accõplissans son mande¬	estes puissantz en vertu/ accomplissans son mande¬
mẽt/ pour obeir a la uoix de sa parolle. Louez Le	ment/ pour obeir a la voix de sa parolle. Louez L'e¬
ternel uous tous exercites diceluy: qui estes ses mi	ternel vous tous exercites d'iceluy: qui estes ses mi¬
nistres/ faisans sa uolunte. Ps̈.103.f.	nistres/ faisans sa volunte. Ps̈.103.f.
Gloire soit a Dieu eis lieux treshautz: et en	Gloire soit a Dieu eis lieux tres hautz: et en
terre/ paix: aux hõmes/ bõne uolunte. Luc.2.b.	terre/ paix: aux hommes/ bonne volunte. Luc.2.b.
La uolunte du Seigneur soit faicte. Act̃.21.c.	La volunte du Seigneur soit faicte. Act̃.21.c.
Qui dis a Cyrus mon pasteur/ ⁊ accompliras	Qui dis a Cyrus mon pasteur/ et accompliras
toute ma uolunte. Isaie.44.d.	toute ma volunte. Isaie.44.d.
Ie suis descẽdu du ciel: nõ point poͬ faire ma uo	Je suis descendu du ciel: non point pour faire ma vo¬
lũte: mais la uolũte de celuy qͥ ma enuoye. Ie.6.d.	lunte: mais la volunte de celuy qui m'a envoye. Je.6.d.
Tu ne ueux point sacrifice ne offrãde: mais tu	Tu ne veux point sacrifice ne offrande: mais tu
me appareille les aureilles: tu ne demãde point sa¬	me appareille les aureilles: tu ne demande point sa¬
crifice brusle/ ny oblation pour le peche. Adõc iay	crifice brusle/ ny oblation pour le peche. Adonc j'ay
dit: Me uoyci uenu: au roulle du liure il est escrit	dit: Me voyci venu: au roulle du livre il est escrit
de moy: que ie face ta uolunte: O mon dieu ie lay	de moy: que je face ta volunte: O mon dieu je l'ay
bien uoulu: aussi est ta loy dedens mes entrailles.	bien voulu: aussi est ta loy dedens mes entrailles.
Ps̈.49.b. Hebr.10.b.	Ps̈.49.b. Hebr.10.b.
Ie ne quiers point ma uolunte: mais la uolun	Je ne quiers point ma volunte: mais la volun¬
te du pere qui ma enuoye. Ieh.5.e.	te du pere qui m'a envoye. Jeh.5.e.
Non point cõme ie ueux: mais cõme tu ueux.	Non point comme je veux: mais comme tu veux.
Matth.26d. Mar.14.d.	Matth.26d. Mar.14.d.
Non point ma uolunte: mais la tienne soit fai-	Non point ma volunte: mais la tienne soit fai¬
cte. Luc.22.c.	cte. Luc.22.c.
Puis dõc que Christ a souffert pour nous en la	Puis donc que Christ a souffert pour nous en la
chair/ uous aussi soyez armez de celle mesme pen¬	chair/ vous aussi soyez armez de celle mesme pen¬
see. Car qui souffroit en la chair/ a faict fin a pe¬	see. Car qui souffroit en la chair/ a faict fin a pe¬
che: affin que doresnauant de ce quil reste de tẽps	che: affin que doresnavant de ce qu'il reste de temps
en la chair il uiue: non point aux desirs des hom¬	en la chair il vive: non point aux desirs des hom¬
mes/ mais a la uolunte de Dieu. 1.Pet̃.4.a.g.	mes/ mais a la volunte de Dieu. 1.Pet̃.4.a.g.
Ne uous cõformez point a ce siecle: mais soyez	Ne vous conformez point a ce siecle: mais soyez
reformez/ en la nouuellete de uostre sens: affin que	reformez/ en la nouvellete de vostre sens: affin que
uous cõgnoissiez par experience/ quelle est la uo-	vous congnoissiez par experience/ quelle est la vo¬
lunte de Dieu/ bõne/ ⁊ bien plaisante/ ⁊ parfaicte.	lunte de Dieu/ bonne/ et bien plaisante/ et parfaicte.
Romains.12.a.	Romains.12.a.
Ceste est la uolunte de dieu/ uostre sanctifica-	Ceste est la volunte de dieu/ vostre sanctifica¬
tion/ que uous uous absteniez de fornication: a ce	tion/ que vous vous absteniez de fornication: a ce
que un chascun de uous sache posseder son uais-	que un chascun de vous sache posseder son vais¬
seau en sanctification ⁊ hõneur/ non point en pas-	seau en sanctification et honneur/ non point en pas¬
sion de desir/ ainsi cõme les gens/ lesquelles non	sion de desir/ ainsi comme les gens/ lesquelles n'on
point congneu dieu. 1.Thessa.4.a.	point congneu dieu. 1.Thessa.4.a.
Ne soyez point mal aduisez: mais entendans	Ne soyez point mal advisez: mais entendans
quelle est la uolunte de dieu. Ephe.5.d.	quelle est la volunte de dieu. Ephe.5.d.
Tousiours diligẽtemẽt trauaillans pour uous	Tousjours diligentement travaillans pour vous
en prieres/ affin que soyez parfaictz et consommez	en prieres/ affin que soyez parfaictz et consommez
en toute uolunte de Dieu. Coloss.4.d.	en toute volunte de Dieu. Coloss.4.d.
Et ceste est la fiance/ laquelle auõs a luy/ que ce	Et ceste est la fiance/ laquelle avons a luy/ que ce
que nous demanderons selon sa uolunte il nous	que nous demanderons selon sa volunte il nous
oyt ⁊c. 1.Iehan.5.c.	oyt etc. 1.Jehan.5.c.
Et le dieu de paix qui a retire des mortz le grãd	Et le dieu de paix qui a retire des mortz le grand
pasteur des brebis/ nostre seigñr Iesus Christ/ par	pasteur des brebis/ nostre seigneur Jesus Christ/ par
le sang du testament eternel/ uous rende parfaictz	le sang du testament eternel/ vous rende parfaictz
en toute bonne oeuure/ pour faire sa uolunte/ ⁊ fa	en toute bonne oeuvre/ pour faire sa volunte/ et fa¬
ce en uous ce qui est plaisant deuãt luy/ par Iesus	ce en vous ce qui est plaisant devant luy/ par Jesus
Christ/ auq̃l est gloire eis siecles des siecles. Amẽ.	Christ/ auquel est gloire eis siecles des siecles. Amen.
Hebr.13.d.	Hebr.13.d.
Dõne nous auiourdhuy ⁊c.	Donne nous aujourdhuy etc.
La benediction de Leternel enrichy/ ⁊ ce sans	La benediction de L'eternel enrichy/ et ce sans
aucune moleste. Prouer.10.c.	aucune moleste. Prover.10.c.
Il donne uiande a toute creature: car sa miseri¬	Il donne viande a toute creature: car sa miseri¬
corde est eternellement. Ps̈.136.c.	corde est eternellement. Ps̈.136.c.
Aussi a tout hõme a qui dieu a dõne richesse et	Aussi a tout homme a qui dieu a donne richesse et
cheuance/ ⁊ luy a dõne faculte den menger ⁊ pren¬	chevance/ et luy a donne faculte d'en menger et pren¬
dre sa part/ ⁊ se esiouyr de son labeur/ ce est don de	dre sa part/ et se esjouyr de son labeur/ ce est don de
dieu. Eccłs.5.d.	dieu. Eccłs.5.d.
Leternel ne affligera point la uie du iuste par	L'eternel ne affligera point la vie du juste par
famine. Prouer.10.a.	famine. Prover.10.a.
Iay este ieune enfãt/ ⁊ si suys enuieilly/ mais ie	J'ay este jeune enfant/ et si suys envieilly/ mais je
nay pas ueu le iuste de laisse: ne sa semẽce querant	n'ay pas veu le juste de laisse: ne sa semence querant
le pain. Ps̈.37.d.	le pain. Ps̈.37.d.
Qui a appareille aux corbeaux la proye/ quãd	Qui a appareille aux corbeaux la proye/ quand
leurs petis crient enuers Dieu: lesq̃lz sont errans	leurs petis crient envers Dieu: lesquelz sont errans
par faute de mengeaille? Iob.38.c.	par faute de mengeaille? Job.38.c.
Il donne aux bestes leur uiande/ ⁊ aux petis	Il donne aux bestes leur viande/ et aux petis
corbeaux/ qui crient. Ps̈.147.b.	corbeaux/ qui crient. Ps̈.147.b.
Les petis lyons sont rugissans apres la proye/	Les petis lyons sont rugissans apres la proye/
⁊ a enquerir de dieu uiande pour eux. Ps.104.c.	et a enquerir de dieu viande pour eux. Ps.104.c.
Tous iceux sont attendans apres toy/ que tu	Tous iceux sont attendans apres toy/ que tu
leur donne uiande en leur temps. Tu leur donne/	leur donne viande en leur temps. Tu leur donne/
