¶ Sũmaire/ ⁊ briefue	¶ Summaire/ et briefve
nation/ ⁊ ueult gouuerner/ ordon¬	nation/ et veult gouverner/ ordon¬
ner ⁊ disposer a son plaisir/ ⁊ auoir	ner et disposer a son plaisir/ et avoir
¶ De lesperit et nouuel	¶ De l’esperit et nouvel
homme. Chap̃.ix.	homme. Chapitre.ix.
L	L’
Esperit est le mouue¬	Esperit est le mouve¬
Dieu baille a lhomme	Dieu baille a l’homme
se renouuellãt/ luy don	se renouvellant/ luy don¬
nant sa grace/ et le iustifiant par	nant sa grace/ et le justifiant par
Iesus.	Jesus.
tre la chair: ⁊ iamais ny paix iusq̃	tre la chair: et jamais ny paix jusque
a ce que la chair soit morte. Il est	a ce que la chair soit morte. Il est
simple ⁊ pur ayant congnoissance	simple et pur ayant congnoissance
de Dieu/ des choses profondes de	de Dieu/ des choses profondes de
il poulse lhõme affin quil soit imi¬	il poulse l’homme affin qu’il soit imi¬
tateur de la bonte de Dieu/ fructi¬	tateur de la bonte de Dieu/ fructi¬
fiãt a uie/ toute doulceur/ amytie/	fiant a vie/ toute doulceur/ amytie/
benignite/ compassion/ chastete/ pa	benignite/ compassion/ chastete/ pa¬
ce/ ferme esperãce en celuy qͥ a tout	ce/ ferme esperance en celuy qui a tout
faict/ auquel il a toute confiance et	faict/ auquel il a toute confiance et
foy/ faisãt que lhõme ne soit point	foy/ faisant que l’homme ne soit point
temeraire/ ne presumptueux: mais	temeraire/ ne presumptueux: mais
Dieu lequel ueritable point ne se	Dieu lequel veritable point ne se
change: mais ce quil a dict il le fera/	change: mais ce qu’il a dict il le fera/
ce quil a promis il le tiendra. Et	ce qu’il a promis il le tiendra. Et
pourtant adresse lhõme/ affin quil	pourtant adresse l’homme/ affin qu’il
doibt/ ⁊ quil ne se arreste a autre q̃ a	doibt/ et qu’il ne se arreste a autre que a
Dieu/ ne prenãt autre maniere de	Dieu/ ne prenant autre maniere de
uiure que celle que Dieu a expres¬	vivre que celle que Dieu a expres¬
sement cõmande/ ne se arrestãt que	sement commande/ ne se arrestant que
que tout soit change ⁊ mue/ et que	que tout soit change et mue/ et que
les infideles florissent/ grãs signes	les infideles florissent/ grans signes
⁊ miracles soient faictz: ⁊ que tous	et miracles soient faictz: et que tous
disent autrement que le pur cõman	disent autrement que le pur comman¬
bouge: mais quil demeure ferme en	bouge: mais qu’il demeure ferme en
la parolle/ laquelle demeure eter¬	la parolle/ laquelle demeure eter¬
nellement. Faice le monde cõment	nellement. Faice le monde comment
quil uueille/ il donne cest hõneur a	qu’il vueille/ il donne cest honneur a
ce qui nest prouue par sa saincte pa	ce qui n’est prouve par sa saincte pa¬
rolle/ nest que uanite ⁊ mensonge.	rolle/ n’est que vanite et mensonge.
Mieulx uault beaucop scauoir	Mieulx vault beaucop scavoir
cecy par experience/ que par liure.	cecy par experience/ que par livre.
esleuz/ affin quilz desirent/ et affe¬	esleuz/ affin qu’ilz desirent/ et affe¬
ctueusemẽt prient que lesperit leur	ctueusement prient que l’esperit leur
soit donne/ a ce quilz soient faictz	soit donne/ a ce qu’ilz soient faictz
nouueaulx hõmes/ ⁊ ayẽt cõgnois¬	nouveaulx hommes/ et ayent congnois¬
esperit/ ⁊ quilz tuẽt ⁊ destruisẽt tou	esperit/ et qu’ilz tuent et destruisent tou¬
tes les affections de la chair et du	tes les affections de la chair et du
uieil hõme/ tendãs seulemẽt a lhõ	vieil homme/ tendans seulement a l’hon¬
neur ⁊ gloire diceluy qͥ peult ⁊ faict	neur et gloire d’iceluy qui peult et faict
ayans pleine fiance en luy/ laymãt	ayans pleine fiance en luy/ l’aymant
de nostre coeur. Et pour lamour de	de nostre coeur. Et pour l’amour de
luy en tout bien edifians ⁊ secourãs	luy en tout bien edifians et secourans
nostre prochain.	nostre prochain.
et mescreance. Chap̃.x.	et mescreance. Chapitre.x.
I	I¬
Ncredulite/ infidelite/ et	Ncredulite/ infidelite/ et
mescreance/ est moins sen¬	mescreance/ est moins sen¬
quil ne cõuient/ de linfinie	qu’il ne convient/ de l’infinie
bonte/ misericorde/ sagesse ⁊ puissã	bonte/ misericorde/ sagesse et puissan¬
ce de Dieu. Laq̃lle du tout en tout	ce de Dieu. Laquelle du tout en tout
ne se peult fier en Dieu: mais incer	ne se peult fier en Dieu: mais incer¬
ayde ⁊ secours/ pleine de inconstan	ayde et secours/ pleine de inconstan¬
ce/ crainct ou il ny a point de matie	ce/ crainct ou il n’y a point de matie–
re de paour/ se fie ou il ny a poĩt de	re de paour/ se fie ou il n’y a point de
seurete/ sans aucun certain propos	seurete/ sans aucun certain propos
ne subiecte a toute tromperie ⁊ dece	ne subjecte a toute tromperie et dece¬
ption. Car la ou nest la lumiere de	ption. Car la ou n’est la lumiere de
foy/ la clarte de la ꝑolle de Dieu/	foy/ la clarte de la parolle de Dieu/
la regnẽt les princes des tenebres/	la regnent les princes des tenebres/
mens en la fosse. Pour le bon che¬	mens en la fosse. Pour le bon che¬
min on prent le mauuais/ pour la	min on prent le mauvais/ pour la
uolunte de Dieu le songe des hom	volunte de Dieu le songe des hom¬
mes. Pour les choses qui sont ag¬	mes. Pour les choses qui sont ag¬
donnances/ ce quil a en abomina¬	donnances/ ce qu’il a en abomina¬
tion/ ⁊ la doctrine diabolicque. Car	tion/ et la doctrine diabolicque. Car
tout ce qui uient de ceste increduli¬	tout ce qui vient de ceste increduli¬
te/ et tout ce qui faict celuy qui na	te/ et tout ce qui faict celuy qui n’a
que couleur quil ayt de sainctete et	que couleur qu’il ayt de sainctete et
de bonne oeuure.	de bonne oeuvre.
¶ De foy. Chap̃.xi.	¶ De foy. Chapitre.xi.
F	F¬
don de Dieu/ par laq̃lle	don de Dieu/ par laquelle
sõmes faictz filz de dieu/	sommes faictz filz de dieu/
⁊ est sentemẽt/ experiẽce/	et est sentement/ experience/
⁊ cõgnoissance uraye de Dieu nr̃e	et congnoissance vraye de Dieu notre
⁊ sage: ⁊ q̃ pour lamour de soymes¬	et sage: et que pour l’amour de soymes¬
me il nous a esleu pour ses filz/ sau	me il nous a esleu pour ses filz/ sau¬
uez ⁊ rachetez par nostre sauueur	vez et rachetez par nostre sauveur
Iesus.	Jesus.
sainctes promesses de Dieu/ ne de	sainctes promesses de Dieu/ ne de
ce quil a parle par les siens pleins	ce qu’il a parle par les siens pleins
du sainct esperit: mais roboree ⁊ cõ	du sainct esperit: mais roboree et con¬
firmee par la parolle diceluy qui ne	firmee par la parolle d’iceluy qui ne
contre toute experience/ cõtre tout	contre toute experience/ contre tout
entendement humain/ iuge ⁊ tient	entendement humain/ juge et tient
fermemẽt ce que Dieu a dict: ⁊ as¬	fermement ce que Dieu a dict: et as¬
seuree par la uerite immuable/ et	seuree par la verite immuable/ et
ne crainct. Et sans aucũ doubte se	ne crainct. Et sans aucun doubte se
tient ferme. Et celuy auquel	tient ferme. Et celuy auquel
elle croit/ elle le tient embrasse par	elle croit/ elle le tient embrasse par
ses sainctes promesses/ estãt puis¬	ses sainctes promesses/ estant puis¬
mys/ desquelz elle rapporte uictoi¬	mys/ desquelz elle rapporte victoi¬
re: car rien ne luy est impossible.	re: car rien ne luy est impossible.
Tout ce quelle demãde elle lobtiẽt/	Tout ce qu’elle demande elle l’obtient/
⁊ ne peult faillir/ pourtant q̃lle est/	et ne peult faillir/ pourtant qu’elle est/
tout ce qͥ nest en ceste foy (cestadire	tout ce qui n’est en ceste foy (c’est a dire
selõ la cõgnoissãce de la ꝑolle) cest	selon la congnoissance de la parolle) c’est
peche. La foy ne peult tirer a autre	peche. La foy ne peult tirer a autre
que a Dieu/ ne se peult tenir quen	que a Dieu/ ne se peult tenir qu’en
est de Dieu. Tout ne luy est rien q̃	est de Dieu. Tout ne luy est rien que
Dieu/ rien ne luy plaict que Dieu	Dieu/ rien ne luy plaict que Dieu
⁊ sa uoix. Et pourtant que en luy	et sa voix. Et pourtant que en luy
seul elle se arreste/ ne peult estre cõ¬	seul elle se arreste/ ne peult estre con¬
ce quelle croit ⁊ espere.	ce qu’elle croit et espere.
¶ Du merite. Chap̃.xii.	¶ Du merite. Chapitre.xii.
M	M¬
Erite/ est uoix pleine dar	Erite/ est voix pleine d’ar¬
gnant a Dieu/ et a toute	gnant a Dieu/ et a toute
lescripture/ cõtrouuee par	l’escripture/ controuvee par
lesperit dorgueil ⁊ derreur/ poͬ met	l’esperit d’orgueil et d’erreur/ pour met¬
tre a neant la grace de nostre Sei¬	tre a neant la grace de nostre Sei¬
ne des merites dict que lhomme se	ne des merites dict que l’homme se
tournant a Dieu merite et dessert	tournant a Dieu merite et dessert
de sortir de peche/ de uenir a confes¬	de sortir de peche/ de venir a confes¬
sion ⁊ auoir remission diceluy/ et	sion et avoir remission d’iceluy/ et
sant bõnes oeuures il satisfaict poͬ	sant bonnes oeuvres il satisfaict pour
ses pechez/ ⁊ gaigne ⁊ acquiert le	ses pechez/ et gaigne et acquiert le
royaume des cieulx ⁊ paradis.	royaume des cieulx et paradis.
Lesquelles blasphemes sont si tres	Lesquelles blasphemes sont si tres
Que peult meriter ung seruiteͬ	Que peult meriter ung serviteur
inutile qͥ ne sert a rien/ qui ne proffi	inutile qui ne sert a rien/ qui ne proffi¬
te rien? Iesus nous commande luy	te rien? Jesus nous commande luy
qui est la uerite que nous disons	qui est la verite que nous disons
tout faict ce qui nous est cõmande)	tout faict ce qui nous est commande)
que nous sommes seruiteurs inuti	que nous sommes serviteurs inuti¬
les. Qui est celuy qui feit iamais	les. Qui est celuy qui feit jamais
tout ce que Dieu commande? Cest	tout ce que Dieu commande? C’est
luy/ ꝑfaict ⁊ misericordieux cõme	luy/ parfaict et misericordieux comme
Dieu/ sans auoir aucune concupi¬	Dieu/ sans avoir aucune concupi¬
scence/ ne mauuaise affection. Si	scence/ ne mauvaise affection. Si
nous sõmes tous mauuais/ ⁊ tou¬	nous sommes tous mauvais/ et tou¬
cõme ung drappeau souille du ui¬	comme ung drappeau souille du vi¬
lain sang de la purgation dune fẽ¬	lain sang de la purgation d’une fem¬
me/ ou est ce merite? Si nous na	me/ ou est ce merite? Si nous n’a¬
uons puissãce mesme de pẽser q̃lque	vons puissance mesme de penser quelque
Dieu/ ⁊ de nous ne pouons q̃ mal/	Dieu/ et de nous ne povons que mal/
serfz/ captifz ⁊ uẽduz soubz peche/	serfz/ captifz et venduz soubz peche/
ne pouõs faire le bien que noꝰ uou	ne povons faire le bien que nous vou¬
lõs: mais faisõs le mal q̃ ne uou¬	lons: mais faisons le mal que ne vou¬
loir dire ie gaigneray le royaume	loir dire je gaigneray le royaume
des cieulx par mes oeuures/ ie se¬	des cieulx par mes oeuvres/ je se¬
ray iustifie par mes oeuures. O	ray justifie par mes oeuvres. O
orgueil ueulx tu monter la sus et	orgueil veulx tu monter la sus et
haultain? Ne entendz tu pas que la	haultain? Ne entendz tu pas que la
iustification est faicte sans desserte	justification est faicte sans desserte
par la grace de Dieu/ par la redem	par la grace de Dieu/ par la redem¬
ptiõ de Iesus? Et q̃ nous sommes	ption de Jesus? Et que nous sommes
cest le don de Dieu: non point par	c’est le don de Dieu: non point par
oeuures/ affin q̃ persõne ne se glori	oeuvres/ affin que personne ne se glori¬
fie. Si donc nous sommes iustifiez	fie. Si donc nous sommes justifiez
⁊ sauuez par grace/ ce nest poĩt par	et sauvez par grace/ ce n’est point par
roit point grace. Car a celuy qͥ oeu¬	roit point grace. Car a celuy qui oeu¬
ure/ le loyer ne luy est point deu se¬	vre/ le loyer ne luy est point deu se¬
lon grace: ains selon debte/ et cõme	lon grace: ains selon debte/ et comme
chose deue ⁊ meritee. Mais a celuy	chose deue et meritee. Mais a celuy
stice sans les oeuures.	stice sans les oeuvres.
¶ De grace. Chap̃.xiii.	¶ De grace. Chapitre.xiii.
G	G¬
Race/ est lamiable/ benĩg/	Race/ est l’amiable/ bening/
eux regard de nostre tres¬	eux regard de nostre tres
bõ pere: lequel poͬ lamour	bon pere: lequel pour l’amour
de soymesme: affin q̃ sõ propos soit	de soymesme: affin que son propos soit
ferme de uiuifier ⁊ sauuer ceulx qͥl	ferme de vivifier et sauver ceulx qu’il
de celuy a qui il faict mercy/ ne de	de celuy a qui il faict mercy/ ne de
ses oeuures/ ne dont il est party ou	ses oeuvres/ ne dont il est party ou
nay/ ne de toutes autres choses/ luy	nay/ ne de toutes autres choses/ luy
pardonne toutes ses faultes et pe¬	pardonne toutes ses faultes et pe¬
filz/ lequel il dõne au chetif prisõ¬	filz/ lequel il donne au chetif prison¬
nier du diable/ de peche/ denfer et de	nier du diable/ de peche/ d’enfer et de
damnation/ a cause de sa meschãte	damnation/ a cause de sa meschante
⁊ dãnee cõception ⁊ natiuite qui est	et damnee conception et nativite qui est
filz de ire. Et peche ⁊ rebellion con¬	filz de ire. Et peche et rebellion con¬
tre la loy de Dieu/ habite en luy/ et	tre la loy de Dieu/ habite en luy/ et
a seigneurie en luy. Le bon Dieu	a seigneurie en luy. Le bon Dieu
⁊ pere de misericorde le prent pour	et pere de misericorde le prent pour
coheritier de Iesuchrist/ luy dõnãt	coheritier de Jesuchrist/ luy donnant
larre du sainct esperit: par lequel il	l’arre du sainct esperit: par lequel il
le renouuelle par foy/ escriuant sa	le renouvelle par foy/ escrivant sa
saincte loy de uie ⁊ desperit/ au coeͬ	saincte loy de vie et d’esperit/ au coeur
mour de luy/ qui est le uray bien/ et	mour de luy/ qui est le vray bien/ et
a suyure ⁊ aymer sa saincte uolun¬	a suyvre et aymer sa saincte volun¬
te/ en renõceant ⁊ detestant la sien¬	te/ en renonceant et detestant la sien¬
ne propre/ ⁊ tout ce qui est de luy/ le	ne propre/ et tout ce qui est de luy/ le
de/ le fortifiant en toutes tẽtatiõs/	de/ le fortifiant en toutes tentations/
le releuãt de tous ses tresbuchemẽs	le relevant de tous ses tresbuchemens
⁊ faultes qui luy aduiennẽt par lin	et faultes qui luy adviennent par l’in¬
firmite de la chair/ ne permettãt ia¬	firmite de la chair/ ne permettant ja¬
re en luy: mais par uiue ⁊ uraye	re en luy: mais par vive et vraye
foy faict qͥl uiẽt obtenir les urays	foy faict qu’il vient obtenir les vrays
⁊ incorruptibles biens/ surmontãt	et incorruptibles biens/ surmontant
tous ses ennemis et triumphant	tous ses ennemis et triumphant
¶ De la doctrine ⁊ tradition	¶ De la doctrine et tradition
des hommes. Chap̃.xiiii.	des hommes. Chapitre.xiiii.
D	D¬
Octrine humaine se uou	Octrine humaine se vou¬
Dieu qui appartiennent	Dieu qui appartiennent
au salut de lame/ de lado¬	au salut de l’ame/ de l’ado¬
ration ⁊ seruice de Dieu/ nest autre	ration et service de Dieu/ n’est autre
chose que abominatiõ deuãt Dieu/	chose que abomination devant Dieu/
licque/ erreur ⁊ uaine trõperie/ par	licque/ erreur et vaine tromperie/ par
laquelle Dieu est seruy en uain/ et	laquelle Dieu est servy en vain/ et
son ire prouocquee sur ceulx qͥ lob¬	son ire provocquee sur ceulx qui l’ob¬
seruent tellement quilz sont dõnez	servent tellement qu’ilz sont donnez
ture/ ⁊ non pas au createur. Car on	ture/ et non pas au createur. Car on
est seruiteur de celuy duquel on gar	est serviteur de celuy duquel on gar¬
de les cõmandemens: ⁊ duquel on	de les commandemens: et duquel on
faict les oeuures/ suyuant ⁊ tenant	faict les oeuvres/ suyvant et tenant
Et dautant que la doctrine hu¬	Et d’autant que la doctrine hu¬
maine a plus dapparence ⁊ de cou¬	maine a plus d’apparence et de cou¬
leur de sainctete/ autãt est elle plus	leur de sainctete/ autant est elle plus
dangereuse. Comme appert de celle	dangereuse. Comme appert de celle
Lantechrist/ laquelle ayant umbre	L’antechrist/ laquelle ayant umbre
destre de Iesus est plus efficace et	d’estre de Jesus est plus efficace et
ydoine a deceuoir ⁊ trõper que nul¬	ydoine a decevoir et tromper que nul¬
le autre. Tellement que les esleuz	le autre. Tellement que les esleuz
a cause de la couuerture q̃ ont ceulx	a cause de la couverture que ont ceulx
qui font les statutz ⁊ les ordonnã¬	qui font les statutz et les ordonnan¬
ces. Cest quilz sont assẽblez au nom	ces. C’est qu’ilz sont assemblez au nom
de Iesus/ et quil est au millieu de	de Jesus/ et qu’il est au millieu de
duit sans les laisser errer/ ⁊ sembla	duit sans les laisser errer/ et sembla¬
bles couleurs fort dangereuses/ qui	bles couleurs fort dangereuses/ qui
