¶ Linstruction des	¶ L’instruction des
re ⁊ oraison auec actiõ de graces uoz petitiõs soiẽt	re et oraison avec action de graces voz petitions soient
notoires uers dieu. Philip.4.a.	notoires vers dieu. Philip.4.a.
uostre uie/ q̃ uous mãgerez ou beuurez: ne pour uo	vostre vie/ que vous mangerez ou beuvrez: ne pour vo¬
uie/ que la uiande: ⁊ le corps plus que le uestemẽt?	vie/ que la viande: et le corps plus que le vestement?
Regardez aux oyseaux du ciel. Car ilz ne semẽt/	Regardez aux oyseaux du ciel. Car ilz ne sement/
uostre pere celeste les nourrit. Nestes uous point	vostre pere celeste les nourrit. N’estes vous point
luy de uous qui en se souciãt puisse adiouster a sa	luy de vous qui en se souciant puisse adjouster a sa
grandeur une coudee? Et pourquoy estes uous en	grandeur une coudee? Et pourquoy estes vous en
cõmẽt ilz croissent. Ilz ne labeurẽt/ ⁊ ne fillẽt poĩt.	comment ilz croissent. Ilz ne labeurent/ et ne fillent point.
gloire/ na point este uestu/ cõme un diceux. Se dieu	gloire/ n’a point este vestu/ comme un d’iceux. Se dieu
donc uest ainsi lherbe des champs/ laquelle est au¬	donc vest ainsi l’herbe des champs/ laquelle est au¬
plus le fera il a uous/ o gens de petite fiance? Ne	plus le fera il a vous/ o gens de petite fiance? Ne
⁊ que beuurõs nous? ou dequoy serõs noꝰ uestus?	et que beuvrons nous? ou dequoy serons nous vestus?
Car les gens senquierẽt de toutes ces choses. Cer¬	Car les gens s’enquierent de toutes ces choses. Cer¬
ces choses auez besoing. Querez dõc premieremẽt	ces choses avez besoing. Querez donc premierement
Ne me dõne mendicite/ ne richesses: dõne moy a	Ne me donne mendicite/ ne richesses: donne moy a
uiure par mesure: q̃ par auẽture quãd seroye saou¬	vivre par mesure: que par aventure quand seroye saou¬
par indigence ie ne desrobe: ⁊ que ne prenne en uain	par indigence je ne desrobe: et que ne prenne en vain
Si les richesses abondent/ ny mettez point le	Si les richesses abondent/ n’y mettez point le
coeur. Ps̈.62.c.	coeur. Ps̈.62.c.
Moymesme moymesme suis celuy qui efface	Moymesme moymesme suis celuy qui efface
souuenance de tes pechez. Isaie.43.d.	souvenance de tes pechez. Isaie.43.d.
Iay efface ton iniquite cõme la nuee/ ⁊ tõ peche	J’ay efface ton iniquite comme la nuee/ et ton peche
ranty. Isa.44.d.	ranty. Isa.44.d.
tient ⁊ moult debonnaire: il ne estriue iamais/ ⁊ ne	tient et moult debonnaire: il ne estrive jamais/ et ne
garde point son courroux eternellemẽt. Il ne noꝰ	garde point son courroux eternellement. Il ne nous
selon noz iniquitez. Car selon la hauteur du ciel	selon noz iniquitez. Car selon la hauteur du ciel
ceux qui le craignẽt. Selon la longueur de Oriẽt	ceux qui le craignent. Selon la longueur de Orient
en Occident: de tant faict il noz transgressions	en Occident: de tant faict il noz transgressions
ses enfãs: ainsi Leternel a misericorde de ceux qui	ses enfans: ainsi L’eternel a misericorde de ceux qui
me/ ⁊ a recordation q̃ noꝰ sõmes poudre. Ps̈.103.b.	me/ et a recordation que nous sommes poudre. Ps̈.103.b.
Ne soys point hõteux de ꝯfesser tes pechez: ⁊ ne	Ne soys point honteux de confesser tes pechez: et ne
Si nous cõfessons noz pechez/ dieu est fidele et	Si nous confessons noz pechez/ dieu est fidele et
toyer de toute iniquite. Si nous disons que nauõs	toyer de toute iniquite. Si nous disons que n’avons
point peche: nous le faisons menteur/ ⁊ sa parolle	point peche: nous le faisons menteur/ et sa parolle
Qui dira: mon cueur est purge? ie suis net de	Qui dira: mon cueur est purge? je suis net de
Car il nest hõme iuste en la terre/ qͥ face bien/ ⁊	Car il n’est homme juste en la terre/ qui face bien/ et
ne peche. Eccl.7.c. 1.Roys.8.e. Ps̈.53.a. Ro.3.b.	ne peche. Eccl.7.c. 1.Roys.8.e. Ps̈.53.a. Ro.3.b.
Qui est lhõme sans macule/ ⁊ iuste/ estant nay	Qui est l’homme sans macule/ et juste/ estant nay
si les cieux ne sont point netz deuant ses yeux. Cõ	si les cieux ne sont point netz devant ses yeux. Com¬
bien plus sera lhõme abominable ⁊ inutile/ qͥ boit	bien plus sera l’homme abominable et inutile/ qui boit
Qui est celuy qui entend les pechez? Seigneur	Qui est celuy qui entend les pechez? Seigneur
Iay tourne ma face uers mon Seigneur dieu:	J’ay tourne ma face vers mon Seigneur dieu:
pour prier ⁊ faire supplication/ en ieunes/ en sac/ ⁊	pour prier et faire supplication/ en jeunes/ en sac/ et
⁊ dis: Ie te prie Seigneur dieu/ qui es grand ⁊ ter¬	et dis: Je te prie Seigneur dieu/ qui es grand et ter¬
Ie tay manifeste mon peche/ ⁊ nay point cache	Je t’ay manifeste mon peche/ et n’ay point cache
mon delict/ Iay dict: Me accusant moymesme/ ie	mon delict/ J’ay dict: Me accusant moymesme/ je
pardonne loffence de mon peche. Ps̈.32.a. ⁊. 19.d.	pardonne l’offence de mon peche. Ps̈.32.a. et. 19.d.
de: efface ma trãsgression selon la multitude de ta	de: efface ma transgression selon la multitude de ta
benignite. Laue moy tresgrandement de mon ini¬	benignite. Lave moy tres grandement de mon ini¬
ma transgression/ ⁊ mon peche estre tousiours con	ma transgression/ et mon peche estre tousjours con¬
deuant tes yeux. Ps̈.51.a.	devant tes yeux. Ps̈.51.a.
Conuertis moy/ ⁊ ie seray conuerty. Car tu es	Convertis moy/ et je seray converty. Car tu es
Purifie moy de ysope/ ⁊ ie seray nettoye: laue	Purifie moy de ysope/ et je seray nettoye: lave
Cõme nous pardonnons ⁊c.	Comme nous pardonnons etc.
Si uous pardõnez aux hommes leurs fautes/	Si vous pardonnez aux hommes leurs fautes/
ne remettez aux hõmes leurs offenses: aussi uostre	ne remettez aux hommes leurs offenses: aussi vostre
thieu.6.b. Luc.11.d.	thieu.6.b. Luc.11.d.
Pardonnez/ ⁊ il uous sera pardonne. Luc.6.f.	Pardonnez/ et il vous sera pardonne. Luc.6.f.
que ton frere a quelque chose a lencontre de toy/	que ton frere a quelque chose a l’encontre de toy/
te recõcilier a ton frere. Et alors uiens/ et presente	te reconcilier a ton frere. Et alors viens/ et presente
ton don. Soys bien tost dacord auec tõ aduerse	ton don. Soys bien tost d’acord avec ton adverse
naduiẽne/ que ton aduerse partie te liure au iuge/ ⁊	n’advienne/ que ton adverse partie te livre au juge/ et
uoye en prison. Ie te dis en uerite/ que tu ne parti¬	voye en prison. Je te dis en verite/ que tu ne parti¬
ras de la iusque a ce que tu auras paye la derniere	ras de la jusque a ce que tu auras paye la derniere
Si tõ frere ta offense/ ua ⁊ le reprẽs entre toy ⁊	Si ton frere t’a offense/ va et le reprens entre toy et
leste: si uoꝰ ne auez pardõne de uoz coeurs un cha¬	leste: si vous ne avez pardonne de voz coeurs un cha¬
scun de uous a son frere. Matth.18.c.d. Luc.17.a.	scun de vous a son frere. Matth.18.c.d. Luc.17.a.
pour lautre. Iacques.5.d.	pour l’autre. Jacques.5.d.
mesmes. Si aucũ cõtre aucun a q̃relle: cõme aussi	mesmes. Si aucun contre aucun a querelle: comme aussi
Christ uoꝰ a ꝑdõne/ uoꝰ aussi pareillemẽt. Coł.3.b.	Christ vous a pardonne/ vous aussi pareillement. Coł.3.b.
pour ceux qui uous outragent. Luc.6.d.	pour ceux qui vous outragent. Luc.6.d.
poursuyuẽt: affin que soyez enfans de uostre pere/	poursuyvent: affin que soyez enfans de vostre pere/
qui est eis cieux/ lequel faict leuer son soleil sur	qui est eis cieux/ lequel faict lever son soleil sur
iustes ⁊ iniustes. Matth.5.g.	justes et injustes. Matth.5.g.
uent quilz font. Luc.23.e.	vent qu’ilz font. Luc.23.e.
S. Estiẽne) Seigñr ne leur ĩpute poĩt ce peche:	Sainct Estienne) Seigneur ne leur impute point ce peche:
Et ne nous induis point en tẽtation.	Et ne nous induis point en tentation.
miere qui sensuit est approbation de nr̃e foy.	miere qui s’ensuit est approbation de nostre foy.
Mes freres reputez pour toute ioye/ quãd uous	Mes freres reputez pour toute joye/ quand vous
probation de uostre foy faict auoir patience. Iac¬	probation de vostre foy faict avoir patience. Jac¬
Bienheureux est lhõme qui souffre tentation:	Bienheureux est l’homme qui souffre tentation:
Car quand il aura este esprouue il receura la cou¬	Car quand il aura este esprouve il recevra la cou¬
laymeroient. Iacques.1.b.	l’aymeroient. Jacques.1.b.
nel: ⁊ ne te courrouce pas quãd il te corrigera. Car	nel: et ne te courrouce pas quand il te corrigera. Car
celuy que Leternel ayme/ il le chastie: ⁊ y prẽt son	celuy que L’eternel ayme/ il le chastie: et y prent son
La fournaise esprouue les uaisseaux du potier:	La fournaise esprouve les vaisseaux du potier:
Ecclesiastic.27.a.	Ecclesiastic.27.a.
O Eternel esprouue moy/ ⁊ me tẽte/ brusle mes	O Eternel esprouve moy/ et me tente/ brusle mes
Cest assez que tu aye ma grace: car ma uertu est	C’est assez que tu aye ma grace: car ma vertu est
Dieu est fidele/ lequel ne uous laissera point	Dieu est fidele/ lequel ne vous laissera point
tenter/ outre ce que pouez: mais fera bonne yssue	tenter/ outre ce que povez: mais fera bonne yssue
1.Corin.10.c.	1.Corin.10.c.
2.Pierre.2.b.	2.Pierre.2.b.
Uous estes ceux qui auez perseuere auec moy	Vous estes ceux qui avez persevere avec moy
¶ De lautre tentation/ laquelle	¶ De l’autre tentation/ laquelle
Ueillez ⁊ priez/ affin que uous nentriez en ten¬	Veillez et priez/ affin que vous n’entriez en ten¬
tation. Certes lesperit est prompt/ mais la chair est	tation. Certes l’esperit est prompt/ mais la chair est
Quand aucun est tẽte/ ne die point quil est tẽte	Quand aucun est tente/ ne die point qu’il est tente
aussi ne tente il point aucun: mais un chascun est	aussi ne tente il point aucun: mais un chascun est
tente/ quand par sa propre concupiscence est attire	tente/ quand par sa propre concupiscence est attire
ceu elle enfante peche: ⁊ le peche quand il est con¬	ceu elle enfante peche: et le peche quand il est con¬
Ceux qui appetent estre riches/ ilz tombent en	Ceux qui appetent estre riches/ ilz tombent en
tẽtation/ ⁊ au lacz ⁊ plusieurs desirs. 1.Timo.6.c.	tentation/ et au lacz et plusieurs desirs. 1.Timo.6.c.
tente. Gala.6.a.	tente. Gala.6.a.
maling.	maling.
Soyez sobres/ et ueillez: Car uostre aduersaire	Soyez sobres/ et veillez: Car vostre adversaire
quelcun poͬ deuorer/ auq̃l resistez fort en la foy ⁊c.	quelcun pour devorer/ auquel resistez fort en la foy etc.
Ie ne prie point que tu les ostes du mondeimais	Je ne prie point que tu les ostes du monde mais
que tu les garde du mauuais. Iehan.17.c.	que tu les garde du mauvais. Jehan.17.c.
me le froment/ mais iay prie pour toy/ affin que ta	me le froment/ mais j’ay prie pour toy/ affin que ta
conferme tes freres. Luc.22.c.	conferme tes freres. Luc.22.c.
Iay enuoye pour congnoistre uostre foy: affin q̃	J’ay envoye pour congnoistre vostre foy: affin que
nostre labeur ne soit uain. 1.Thess.3.b.	nostre labeur ne soit vain. 1.Thess.3.b.
peche poĩt: mais qͥ est nay de Dieu/ il se garde soy¬	peche point: mais qui est nay de Dieu/ il se garde soy¬
mesme/ ⁊ le mauuais ne le touche point. 1.Ieh.5.d.	mesme/ et le mauvais ne le touche point. 1.Jeh.5.d.
de: et ceste est la uictoire/ qui surmonte le monde/	de: et ceste est la victoire/ qui surmonte le monde/
¶ Car a toy est le royaume ⁊c.	¶ Car a toy est le royaume etc.
O Eternel/ dieu Disrael nostre pere/ loue soye	O Eternel/ dieu D’israel nostre pere/ loue soye
toy est la magnificence/ ⁊ la puissance/ ⁊ la gloire/	toy est la magnificence/ et la puissance/ et la gloire/
⁊ en la terre est tien. O Eternel a toy est le royau¬	et en la terre est tien. O Eternel a toy est le royau¬
me/ ⁊ as la principaute sur tous princes. A toy sõt	me/ et as la principaute sur tous princes. A toy sont
tout/ ⁊ en ta main est la uertu ⁊ puissance/ et en ta	tout/ et en ta main est la vertu et puissance/ et en ta
tenant nostre Dieu/ nous te rendons louenge/ et	tenant nostre Dieu/ nous te rendons louenge/ et
collaudõs ton noble nom. 1.Cronic.29.c. Uoyez	collaudons ton noble nom. 1.Cronic.29.c. Voyez
A dieu seul saige/ nostre sauueur/ gloire et ma¬	A dieu seul saige/ nostre sauveur/ gloire et ma¬
les siecles. Amen. Iude.1.g. Rom̃.11.d.16.d. Timo.	les siecles. Amen. Jude.1.g. Rom̃.11.d.16.d. Timo.
1.d. 1.Pet̃.5.d. Apoca.5.d.7.c.	1.d. 1.Pet̃.5.d. Apoca.5.d.7.c.
lhonneur/ ⁊ la puissance. Car tu as cree toutes cho	l’honneur/ et la puissance. Car tu as cree toutes cho¬
Apocalip.4.d.	Apocalip.4.d.
¶ Declaration des articles	¶ Declaration des articles
¶ Ie croy.	¶ Je croy.
⁊ certification des choses non apparẽtes. Heb.11.a.	et certification des choses non apparentes. Heb.11.a.
Il faut que celuy qui uiẽt a Dieu/ croye quil	Il faut que celuy qui vient a Dieu/ croye qu’il
rent. Heb.11.a.	rent. Heb.11.a.
dit chapitre .a.	dit chapitre .a.
Tout ce qui nest point faict en foy/ est peche.	Tout ce qui n’est point faict en foy/ est peche.
Cecy est loeuure de dieu/ que uous croyez en ce¬	Cecy est l’oeuvre de dieu/ que vous croyez en ce¬
Le don esleu de foy luy sera dõne: ⁊ le sort tresa¬	Le don esleu de foy luy sera donne: et le sort tres a¬
greable au temple de Dieu. Sapiẽce.3.c.	greable au temple de Dieu. Sapiẽce.3.c.
Seigneur. Osee.2.d.	Seigneur. Osee.2.d.
En uerite/ en uerite ie uous dy que qui oyt ma	En verite/ en verite je vous dy que qui oyt ma
parolle/ ⁊ croit a celuy qui ma enuoye/ il a uie eter	parolle/ et croit a celuy qui m’a envoye/ il a vie eter¬
sera de la mort en la uie. Iehã.5.d.	sera de la mort en la vie. Jehã.5.d.
plent toute la terre/ et donnent force a ceux qui de	plent toute la terre/ et donnent force a ceux qui de
coeur par faict croyent en luy. 2.Cronicques.16.c.	coeur parfaict croyent en luy. 2.Cronicques.16.c.
cestuy qui iustifie linfidele. Romains.4.a.	cestuy qui justifie l’infidele. Romains.4.a.
quelle est en Iesu Christ. Gał.3.d.	quelle est en Jesu Christ. Gał.3.d.
Dieu qui congnoit les coeurs leur a baille tes¬	Dieu qui congnoit les coeurs leur a baille tes¬
a nous/ ⁊ na point faict de difference entre nous et	a nous/ et n’a point faict de difference entre nous et
Uous estes sauuez de grace par la foy/ ⁊ ce nest	Vous estes sauvez de grace par la foy/ et ce n’est
point de uous/ cest don de Dieu/ non point par les	point de vous/ c’est don de Dieu/ non point par les
mes son oeuure/ crees a Iesus Christ a bõnes oeu¬	mes son oeuvre/ crees a Jesus Christ a bonnes oeu¬
nions en icelles. Ephes.2.b.	nions en icelles. Ephes.2.b.
Nous scauons que lhõme nest point iustifie par	Nous scavons que l’homme n’est point justifie par
Christ/ ⁊ nous auons creu en Iesus Christ/ affin q̃	Christ/ et nous avons creu en Jesus Christ/ affin que
par les oeuures de la loy: pourtãt que toute chair	par les oeuvres de la loy: pourtant que toute chair
nest poĩt iustifiee ꝑ les oeuures de la loy. Gał.2.d.	n’est point justifiee par les oeuvres de la loy. Gał.2.d.
grace la ꝓmesse soit ferme a toute semẽce. Ro.4.c.	grace la promesse soit ferme a toute semence. Ro.4.c.
et a sa semence/ affin quil fut heritier du monde/	et a sa semence/ affin qu’il fut heritier du monde/
mais par la iustice de foy. Rom̃.4.c.	mais par la justice de foy. Rom̃.4.c.
dequoy se glorifier/ mais non point enuers Dieu.	de quoy se glorifier/ mais non point envers Dieu.
Dieu/ ⁊ il luy a este repute a iustice. Rom̃.4.a.	Dieu/ et il luy a este repute a justice. Rom̃.4.a.
En Iesus Christ ne la circoncision/ ne le prepu¬	En Jesus Christ ne la circoncision/ ne le prepu¬
Gala.5.b.	Gala.5.b.
tailloyent/ aussi Dieu les a exauce pource quilz	tailloyent/ aussi Dieu les a exauce pource qu’ilz
ont creu en luy. 1.Cronicques.5.c.	ont creu en luy. 1.Cronicques.5.c.
Abacuc.2.a.	Abacuc.2.a.
a celuy qui croyt. Marc.9.d.	a celuy qui croyt. Marc.9.d.
Ainsi te soit il faict/ cõe tu croys. Mat.8.b.9.d.	Ainsi te soit il faict/ comme tu croys. Mat.8.b.9.d.
On croyt de coeur a iustice/ ⁊ on cõfesse de bou¬	On croyt de coeur a justice/ et on confesse de bou¬
Iay creu/ pour ce iay parle. 2.Cor.4.c.	J’ay creu/ pour ce j’ay parle. 2.Cor.4.c.
Il uous est donne poͬ Christ/ non point de croy	Il vous est donne pour Christ/ non point de croy¬
Philip.1.d.	Philip.1.d.
aornẽt la doctrine de dieu nostre sauueur. Tit.2.b.	aornent la doctrine de dieu nostre sauveur. Tit.2.b.
Uous qui croyez/ uous uous esiouyrez de ioye	Vous qui croyez/ vous vous esjouyrez de joye
foy le salut de uoz ames. 1.Pier.1.b.	foy le salut de voz ames. 1.Pier.1.b.
foy/ sans les oeuures de la loy. Rom̃.3.d.	foy/ sans les oeuvres de la loy. Rom̃.3.d.
Uoyez plusieurs exẽples de la foy) Hebr.11.	Voyez plusieurs exemples de la foy) Hebr.11.
Tu croys que il est un Dieu: tu fays bien. Et	Tu croys que il est un Dieu: tu fays bien. Et
La foy sans oeuures est morte. Au dit chap̃.	La foy sans oeuvres est morte. Au dit chapitre.
Ilz cõfessent Dieu de bouche/ mais de faictz ilz	Ilz confessent Dieu de bouche/ mais de faictz ilz
Qui dit que il congnoit dieu/ ⁊ ne garde point	Qui dit que il congnoit dieu/ et ne garde point
en luy: ⁊ qui garde sa parolle la charite de dieu est	en luy: et qui garde sa parolle la charite de dieu est
urayement parfaicte en ce. Nous scauons par ce:	vrayement parfaicte en ce. Nous scavons par ce:
en Christ/ il doit aussi cheminer cõme iceluy a che	en Christ/ il doit aussi cheminer comme iceluy a che¬
Si iay prophetie/ ⁊ que ie cõgnoisse les myste-	Si j’ay prophetie/ et que je congnoisse les myste¬
res/ ⁊ toute science/ ⁊ que iaye toute la foy/ tellemẽt	res/ et toute science/ et que j’aye toute la foy/ tellement
nay charite/ ie ne suis rien. 1.Corin.13.a.	n’ay charite/ je ne suis rien. 1.Corin.13.a.
de bõne consciẽce/ ⁊ de foy non feinte. 1.Timo.1.a.	de bonne conscience/ et de foy non feinte. 1.Timo.1.a.
