¶ Letres certaines dau	¶ Letres certaines d’au¬
absenter la uille de Geneue sãs iamais	absenter la ville de Geneve sans jamais
reseruant a eulx la cõgnoissance des des¬	reservant a eulx la congnoissance des des¬
deurs demãderẽt le double de tout ce qui	deurs demanderent le double de tout ce qui
auoit este faict poͬ en informer Messieͬs	avoit este faict pour en informer Messieurs
menche qͥnziesme de Feurier nr̃e Maistre	menche quinziesme de Fevrier notre Maistre
cõbiẽ qͥl fut pasle: ⁊ estre mõte en chayere/	combien qu’il fut pasle: et estre monte en chayere/
il cõmẽcea de p̃scher. Lors fut faict ung	il commencea de prescher. Lors fut faict ung
nee: mais il nen uoulut riẽ faire. Et fut	nee: mais il n’en voulut rien faire. Et fut
il na faulte de riẽ: car il est fort en la gra¬	il n’a faulte de rien: car il est fort en la gra¬
ce des Dames cõe il a este tousiours/ les¬	ce des Dames come il a este tousjours/ les¬
Et la femme du Ieaulier (qui aym◊ grã	Et la femme du Jeaulier (qui ayme gran¬
est gras ⁊ en bon point nourrissãt barbe/	est gras et en bon point nourrissant barbe/
attendant destre briefuement deliure/ ce	attendant d’estre briefvement delivre/ ce
luy enuoye ⁊ a tous/ ce qui est necessaire a	luy envoye et a tous/ ce qui est necessaire a
Faisant fin a ce quen toute dili¬	Faisant fin a ce qu’en toute dili¬
gence ay procure dauoir tout	gence ay procure d’avoir tout
priãt nostre Seigñr	priant nostre Seigneur
que desirez.	que desirez.
De Geneue ce pre¬	De Geneve ce pre¬
1534.	1534.
